PLAYER,POS,TEAM,OPP,ML,O/U,SPRD,TM/P,SAL,FPTS,VAL,RST%
Jamari Thrash,WR,CLE,CIN,202,46.50,6.00,20.25,3000,0.00,0.0,0
British Brooks,RB,HOU,LAR,121,44.50,2.50,21.00,4000,0.00,0.0,0
Brenden Bates,TE,CLE,CIN,202,46.50,6.00,20.25,2500,0.00,0.0,0
Jawhar Jordan,RB,HOU,LAR,121,44.50,2.50,21.00,4000,0.00,0.0,0
Justin Shorter,TE,LV,NE,128,42.50,3.00,19.75,2500,0.00,0.0,0
David Martin-Robinson,TE,TEN,DEN,295,41.50,7.50,17.00,2500,0.00,0.0,0
Jordan Mims,RB,TEN,DEN,295,41.50,7.50,17.00,4000,0.00,0.0,0
Salvon Ahmed,RB,IND,MIA,-125,46.50,-2.00,24.25,4000,0.00,0.0,0
Bryce Ford-Wheaton,WR,NYG,WAS,232,45.50,6.00,19.75,3000,0.00,0.0,0
Dylan Drummond,WR,ATL,TB,108,48.00,1.50,23.25,3000,0.00,0.0,0
Kyle Allen,QB,DET,GB,100,49.50,1.50,24.00,4000,0.00,0.0,0
Adrian Martinez,QB,NYJ,PIT,129,38.00,3.00,17.50,4000,0.00,0.0,0
Hendon Hooker,QB,DET,GB,100,49.50,1.50,24.00,4500,0.00,0.0,0
Tommy DeVito,QB,NYG,WAS,232,45.50,6.00,19.75,4000,0.00,0.0,0
Jimmy Garoppolo,QB,LAR,HOU,-143,44.50,-2.50,23.50,4400,0.00,0.0,0
Russell Gage,WR,SF,SEA,-136,45.00,-2.50,23.75,3000,0.00,0.0,0
Bryce Oliver,WR,TEN,DEN,295,41.50,7.50,17.00,3000,0.00,0.0,0
Terrell Jennings,RB,NE,LV,-152,42.50,-3.00,22.75,4000,0.00,0.0,0
Dresser Winn,QB,LAR,HOU,-143,44.50,-2.50,23.50,4000,0.00,0.0,0
Jack Plummer,QB,CAR,JAX,129,46.00,3.00,21.50,4000,0.00,0.0,0
Brandon Aiyuk,WR,SF,SEA,-136,45.00,-2.50,23.75,4800,0.00,0.0,0
Cornelius Johnson,WR,GB,DET,-120,49.50,-1.50,25.50,3000,0.00,0.0,0
Drew Lock,QB,SEA,SF,116,45.00,2.50,21.25,4300,0.00,0.0,0
John Jiles,WR,NE,LV,-152,42.50,-3.00,22.75,3000,0.00,0.0,0
Dante Miller,RB,NYG,WAS,232,45.50,6.00,19.75,4000,0.00,0.0,0
Nick Mullens,QB,JAX,CAR,-153,46.00,-3.00,24.50,4300,0.00,0.0,0
Mason Tipton,WR,NO,ARI,211,42.50,6.00,18.25,3000,0.00,0.0,0
Bub Means,WR,NO,ARI,211,42.50,6.00,18.25,3100,0.00,0.0,0
Jonathon Brooks,RB,CAR,JAX,129,46.00,3.00,21.50,4000,0.00,0.0,0
Hayden Rucci,TE,MIA,IND,106,46.50,2.00,22.25,2500,0.00,0.0,0
Ja'Lynn Polk,WR,NE,LV,-152,42.50,-3.00,22.75,3000,0.00,0.0,0
Shawn Bowman,TE,JAX,CAR,-153,46.00,-3.00,24.50,2500,0.00,0.0,0
