PLAYER,POS,TEAM,OPP,ML,O/U,SPRD,TM/P,SAL,FPTS,VAL,RST%
Taysom Hill,TE,NO,ARI,211,42.50,6.00,18.25,3700,0.80,0.2,1.48
Sam Darnold,QB,SEA,SF,116,45.00,2.50,21.25,5300,14.37,2.7,1.46
Tre Tucker,WR,LV,NE,128,42.50,3.00,19.75,3100,3.91,1.3,1.46
Marvin Mims,WR,DEN,TEN,-375,41.50,-7.50,24.50,4500,9.86,2.2,1.39
Cincinnati Bengals,D,CIN,CLE,-246,46.50,-6.00,26.25,3600,6.74,1.9,1.35
Darius Slayton,WR,NYG,WAS,232,45.50,6.00,19.75,4000,6.04,1.5,1.34
Mike Gesicki,TE,CIN,CLE,-246,46.50,-6.00,26.25,3600,7.48,2.1,1.33
Jaleel McLaughlin,RB,DEN,TEN,-375,41.50,-7.50,24.50,4800,3.31,0.7,1.22
Ray-Ray McCloud,WR,ATL,TB,108,48.00,1.50,23.25,3700,3.65,1.0,1.09
Tanner Hudson,TE,CIN,CLE,-246,46.50,-6.00,26.25,2500,1.51,0.6,1.06
Zach Charbonnet,RB,SEA,SF,116,45.00,2.50,21.25,4900,8.96,1.8,1.05
Blake Corum,RB,LAR,HOU,-143,44.50,-2.50,23.50,4500,1.96,0.4,1.02
Ben Sinnott,TE,WAS,NYG,-284,45.50,-6.00,25.75,2500,2.58,1.0,0.98
Tyler Allgeier,RB,ATL,TB,108,48.00,1.50,23.25,5000,5.69,1.1,0.93
Jauan Jennings,WR,SF,SEA,-136,45.00,-2.50,23.75,4900,11.47,2.3,0.86
Dyami Brown,WR,JAX,CAR,-153,46.00,-3.00,24.50,4300,6.89,1.6,0.83
Van Jefferson,WR,TEN,DEN,295,41.50,7.50,17.00,3400,1.62,0.5,0.81
Antonio Gibson,RB,NE,LV,-152,42.50,-3.00,22.75,4500,2.78,0.6,0.79
